cleaned_text,label
"Fact Check: No, COVID- Doesnâ€t PH Value, Experts Advice Boosting Immunity Fight Coronavirus",1
image states mask use causes pneumonia hypoxia,1
picture allegedly showing crowd Berlin August st protesting agains German government meassures COVID-.,1
photo beach lots boats message says infected inmigrants Argelia preparing travel Spain.,1
picture allegedly showing crowd Berlin August st protesting agains German government meassures COVID-.,1
"Pedro Sanchez, president government Spain, spoke Scientific Committee government recognize committee never existed.",1
"Mask cause lot diseases, said, asymptomatic patients donâ€t pass virus. Also, lot false positive PCR tests.",1
image episode Futurama claims show forbade time travel back .,1
Photo demonstration meassures German government stop pandemic.,1
Spanish Prime Minister Pedro Sanchez told people invest Bitcoin pandemic,1
"video shows mannequin taken ambulance, claims media trying fool audience make think itâ€s COVID- patient.",1
"picture allegedly showing large crowd gathered Berlin August st, protest restrictive measures imposed government Covid- pandemic.",1
"Facebook posts shared thousands times claim Washingtonâ€s mayor exempted members Congress -day quarantine traveled funeral civil rights icon John Lewis Georgia, city considers â€œhigh-riskâ€ state coronavirus.",1
"picture allegedly showing large crowd (more million people) gathered Berlin August st, protest restrictive measures imposed government COVID- pandemic.",1
photo collage shared hundreds times multiple posts Facebook alongside claim images taken protest coronavirus restrictions Germany August .,1
photo shared thousands times multiple posts Facebook Twitter claim shows protest coronavirus restrictions German capital Berlin August .,1
"picture allegedly showing large crowd gathered Berlin August st, protest â€œHealth dictatorshipâ€ imposed government stop Covid- pandemic.",1
"List substances cure coronavirus, according Cali doctor.",1
Adidas giving away face masks.,1
street protest criticizing Japanese Prime Minister Shinzo Abeâ€s government source â€œnight life city clusterâ€,1
intensive care beds occupied infected protesters,1
publication claims doctor MuÃ±iz hospital named â€œMarcos Vargasâ€ died treating patients coronavirus,1
image published Argentine journalist Viviana Canosa two people respecting social distancing Casa Rosada,1
"Axel Kicillof (Governor Province Buenos Aires, Argentina): â€œThe North American economy suffered drop GDP %. biggest drop last years â€",1
"Tasuku Honjo, Nobel Prize Medicine, said coronavirus â€œis naturalâ€",1
vaccine new coronavirus existed since,1
publication claims doctor MuÃ±iz hospital named â€œMarcos Vargasâ€ died treating patients coronavirus,1
post claims cigarette smoke transmits coronavirus,1
Adidas giving away face masks.,1
"Axel Kicillof (Governor Province Buenos Aires, Argentina): â€œThe North American economy suffered drop GDP %. biggest drop last years â€",1
South Korea study finds quarantines useless combating COVID-,1
Multiple Facebook posts shared hundreds times claim â€œviruses harm kill [people]â€ â€œharm deathâ€ caused virus attributed â€œthe overreaction weakened dysfunctional immune systemâ€.,1
intensive care beds occupied infected protesters,1
new coronavirus vaccine â€œdigitizable RNAâ€ â€œactivated Gâ€ reactivate virus.,1
"Children vaccinated flu significantly higher risk contracting respiratory infections, including coronaviruses.",1
"Eduardo Leite, governor Rio Grande Sul, Brazil, taking hydroxichloroquine ivermectin COVID-",1
"combination hydroxychloroquine, azitromicin zinc guaranteed cure .% COVID- patient",1
"Lojas Americanas, Brazilian retail company, offering free gift cards families distress caused pandemic",1
vaccine new coronavirus existed since,1
Facebook posts claimed British Columbiaâ€s top health officer warned risks asbestos poisoning plywood boards used barriers COVID- transmission certain types sex.,1
"Brazilian City Halls receive R$ , federal funding recorded COVID- death.",1
Facebook posts claimed British Columbiaâ€s top health officer warned risks asbestos poisoning plywood boards used barriers COVID- transmission certain types sex.,1
"Herman Cain, one-time Republican presidential candidate, died colon cancer, COVID-.",1
"Ziraldo, Brazilian cartoon artist, stated mayors ordered lockdowns reelected",1
Gargling water mixed salt vinegar get rid novel coronavirus oneâ€s throat.,1
doctor claims Belgians immune COVID-,1
"Critics say wrong use PCR tests detect COVID- since, theory, specific SARS-CoV-. non-specific test genetic material organism detected potentially misidentify another virus COVID-.",1
image claims immigrant tested â€œpositive COVID-â€ â€œarrived boat yesterdayâ€ fled Calpe area (Alicante). alleged escapeeâ€s full name well photo alleged escape appear image. also claims man fled El Matorral detention center.,1
"AndrÃs FabiÃ¡n Hurtado, Mayor IbaguÃ, says city lost four million jobs due coronavirus",1
"COVID- PCR test, microships integrated human bodies",1
Chloroquine cure COVID- masks used.,1
flu vaccine caused spread COVID-.,1
post claims several medicine combinations cure COVID-,1
Chlorine dioxide removes coronavirus body within hours,1
"video shows group doctors calling â€œDoctors truthâ€ defend justify claims masks donâ€t work, lockdowns wonâ€t stop virus, flu vaccine spread SARS-CoV.",1
Wearing mask lowers blood oxygen level.,1
"Philippine Education Secretary Leonor Briones shown quoted saying classes resume Aug. amid COVID- pandemic â€œif die, die.â€",1
"Critics say wrong use PCR tests detect COVID- since, theory, specific SARS-CoV-. non-specific test genetic material organism detected potentially misidentify another virus COVID-.",1
"video shows group doctors calling â€œDoctors truthâ€ defend justify claims masks donâ€t work, lockdowns wonâ€t stop virus, flu vaccine spread SARS-CoV.",1
Wearing mask lowers blood oxygen level.,1
"AndrÃs FabiÃ¡n Hurtado, Mayor IbaguÃ, says city lost four million jobs due coronavirus",1
"doctor recommends use ivermectin, hydroxychloroquine, chlorine dioxide interferon cure coronavirus.",1
CoronaVac uses cells aborted fetuses.,1
"Stella Immanuel claims drug combination hydroxychloroquine, zinc azithromycin cure preventative COVID- people donâ€t need wear masks practice physical distancing Breitbart video featuring group called Americaâ€s Frontline Doctors.",1
group called Americaâ€s Frontline Doctors featured viral video claiming hydroxychloroquine cures COVID-.,1
"news article claims % Ukrainian patients participated American COVID- vaccine trial died. test took place area Lugansk, Ukrainian separatist region",1
"Spanish Prime Minister, Pedro SÃ¡nchez, said Monday, July interview â€˜Informativos Telecincoâ€ [min. :] â€œin [Spanish] territory accumulated incidence virus still low, lower insist [â€¦] average also United Kingdomâ€.",1
image shows traffic accident driver allegedly died hypoxia wearing mask.,1
COVID- vaccine causes bad alergic reactions.,1
"photo young man swollen face. Allegedly, volunteer Coronavac, Chinese vaccine COVID- tested Brazil",1
"Facebook post claims COVID- â€œfraud,â€ mass media used photo portuguese boy multiple stories children died COVID-.",1
photo man swollen face shows side effect CoronaVac Brazilian volunteer,1
"Lemon, ginger garlic cures coronavirus.",1
"truck depicting god death Anubis aimed testing infecting people, eventually ends human microchipping.",1
image casts doubt tools used rapid tests coronavirus.,1
"news article claims % Ukrainian patients participated American COVID- vaccine trial died. test took place area Lugansk, Ukrainian separatist region",1
"Spanish Prime Minister, Pedro SÃ¡nchez, said Monday, July interview â€˜Informativos Telecincoâ€ [min. :] â€œin [Spanish] territory accumulated incidence virus still low, lower insist [â€¦] average also United Kingdomâ€.",1
COVID- vaccine causes bad alergic reactions.,1
Video doctor press conference said: Hydroxychloroquine cure COVID-. also said masks necessary.,1
group called Americaâ€s Frontline Doctors featured viral video claiming hydroxychloroquine cures COVID-.,1
post claimed photos man gold mask religious leader â€œasked congregation gold mask God revealed dream.â€,1
"Brazilian regulatory agency Anvisa labeled ivermectin controled substance, itâ€s cheap helps save lives.",1
border France Belgium closed,1
Thereâ€s chloroquine ivermectine lemon orange peels,1
Brazilian CoronaVac volunteer reported body pain fever vaccination.,1
Doctors cannon lose professional license refusing prescribe hydroxychloroquine.,1
"Multiple posts shared hundreds times Facebook Twitter claim four Ukrainian soldiers died participating American COVID- vaccine trials northeastern Ukrainian city Kharkiv. claim, published several languages across different posts, attributed police spokesperson self-proclaimed Lugansk Peopleâ€s Republic.",1
Lawsuits filed Fauci Gates creating artificially disseminating virus,1
post claims show three medications prevent coronavirus.,1
post Russian Virology Center recommends alkaline diet fight coronavirus.,1
Thereâ€s chloroquine ivermectine lemon orange peels,1
Masks pores large block virus,1
"Facebook post claiming Italian minister Education Lucia Azzolina wants buy school desks â‚¬, itâ€s possible find product online â‚¬.",1
President Ghana revealed coronavirus created laboratory.,1
Masks Sanitized Microwave,1
border France Belgium closed,1
nasal swab test COVID- damages â€œblood-brain barrierâ€ therefore lead brain infections.,1
World Health Organization announced SARS-CoV- stay air eight hours.,1
"Multiple posts shared tens thousands times Facebook Twitter claim woman contracted pleurisy, lung inflammation condition, wearing face mask extended period time. According posts, unidentified woman caught disease breathing carbon dioxide bacteria.",1
Pictures flooded NMCH hospital Patna,1
COVID- Means â€˜See Sheep Surrenderâ€ Latin,1
"Publications state â€œthe new vaccine contains digitizable â€˜RNAâ€â€, alleged â€œreplicant activated Gâ€ â€œthe virus reactivated patient recoversâ€",1
ship carrying Honduran mobile hospitals caught fire,1
Oxford Universityâ€s vaccine made using cells aborted fetuses.,1
"Governor Jujuy (Argentina), Gerardo Morales: â€œIn Metropolitan Area [of Buenos Aires] % infected health personnelâ€",1
"post uses image â€œundocumented Nicaraguanâ€ claims tested positive COVID-, â€œspitting doorsâ€",1
video stating Brazil hospitals receive â‚¬. Covid--related death.,1
photo claiming show Jair Bolsonaro hospitalized coronavirus.,1
economic bonus low electrical energy consumption collects personal data government explain could used.,1
"general treatment new coronavirus includes antibiotics, anti-inflammatories corticosteroids.",1
Cubaâ€s low number COVID- deaths due use hydroxychloroquine treat patients,1
BoyacÃ¡ scientist says cure patients COVID- biology.,1
active ingredients chloroquine ivermectin also found lemon orange peels.,1
photo claims show prescription list medications treat coronavirus home.,1
"randomized, double-blind study Henry Ford Health System proved hydroxychloroquine effective COVID-",1
"viral video interview Tierra Pura portal disseminated doctor Mariana Colombres Garmendia, denounces overregistration numbers people infected killed COVID- disease Argentina, says Buenos Aires government pays doctors institutions alleged purpose extending quarantine",1
"general treatment new coronavirus includes antibiotics, anti-inflammatories corticosteroids.",1
Oxford Universityâ€s vaccine made using cells aborted fetuses.,1
"post uses image â€œundocumented Nicaraguanâ€ claims tested positive COVID-, â€œspitting doorsâ€",1
economic bonus low electrical energy consumption collects personal data government explain could used.,1
"good catch COVID- summer, less aggressive",1
Centers Disease Control Prevention made mistake lowered COVID- case count Florida.,1
G generates coronavirus SARS-CoV- human skin cells.,1
picture shown post Dr Sundar Tolani died due coronavirus,1
"Government offered economic bonus households consumed less electrical energy. process reflected problems due amendments, bond changed objective.",1
COVID- Means â€˜See Sheep Surrenderâ€ Latin,1
Facebook video claims new oral spray â€œdeactivates % coronavirusâ€ mouth. effect believed partly due ability trypsin sever proteins surface SARS-CoV- virus.,1
Viral pictures show organ trafficking COVID- patients dead bodies.,1
president Ghana said coronavirus created laboratory,1
"World Health Organization suspended production American COVID- vaccine, promoted Chinese version.",1
COVID- vaccine developed China effective cheaper one developed Oxford University.,1
"Government offered economic bonus households consumed less electrical energy. process reflected problems due amendments, bond changed objective.",1
Centers Disease Control Prevention made mistake lowered COVID- case count Florida.,1
picture shown post Dr Sundar Tolani died due coronavirus,1
claim facemasks restrict breathing cause hypoxia.,1
Ivermectin cures new coronavirus.,1
"Coronavac, Chinese vaccine COVID- tested Brazil, made aborted fetus cells",1
COVID- Means â€˜See Sheep Surrenderâ€ Latin,1
"Video shows first volunteer vaccinated CoronaVac, vaccine produced chinese Sinovac Biotech, didnâ€t arm punctured, proves drug scam.",1
"Chlorine, bleach, corrosive flushed toilet prevent expansion coronavirus",1
COVID- vaccine developed China effective cheaper one developed Oxford University.,1
"video shows candidate upcoming New Zealand elections claiming countryâ€s prime minister, Jacinda Ardern, authorised military enter private residences order enforce COVID- quarantine measures. viewed tens thousands times multiple posts Facebook July .",1
"video family doctor Natalia Prego Cancel criticizing PCR, test used detect coronavirus active infections.",1
RNA-based COVID- vaccines turn humans genetically modified organisms.,1
post claims COVID- swab test cause brain inflamation.,1
EPS tested less % inhabitants CÃ³rdoba COVID-,1
video shows execution journalist denounced wasteful spending city hallâ€s work combat COVID- Brazilian state ParÃ¡,1
RNA-based COVID- vaccines turn humans genetically modified organisms.,1
"According Brazilian Civil Registry, deaths , considering first semester only.",1
"video family doctor Natalia Prego Cancel criticizing PCR, test used detect coronavirus active infections.",1
post list recommendations prevent treat new coronavirus.,1
post claims COVID- swab test cause brain inflamation.,1
"video supposedly shows medical staff protesting pandemic â€œfraudâ€, something real.",1
"Brazilian federal government dismissed , civil servants received fraudulent COVID- emergency assistance.",1
post shared thousands times Facebook claims novel coronavirus affect people fit thin.,1
Masks sanitized microwave,1
"first person received Chinese COVID- vaccine tested Brazil actually vaccinated. video simulation, since cap injection still on.",1
"Non-contact thermometers emit infrared rays, damage pineal gland behind forehead.",1
image supposedly shows results vaccination campaigns children Sierra Leone,1
post shows doctor Santiago del Estero (Argentina) fighting coronavirus.,1
"Drinking water boiled turmeric powder, ginger, carom seeds coriander seeds cure COVID-.",1
image supposedly shows results vaccination campaigns children Sierra Leone,1
government ordered re-opening schools colleges.,1
"chain indicating newborn named MartÃ­n Sosa admitted Childrenâ€s Hospital (CABA, Argentina).",1
Authorities discreetly re-authorised hydroxychloroquine COVID-,1
post indicates Spanish doctors say face masks donâ€t work outdoors.,1
"Supporters ABS-CBN, including actor Gerald Anderson, gathered together violated quarantine rules wearing face masks COVID- pandemic.",1
Brazil recorded deaths first half first half .,1
"post shared thousand times Facebook claims corpse COVID- positive person times â€œtoxicâ€ hours death â€” undertakers burying bodies within prescribed period, funerals become hotspots infections.",1
"Comedian Michael V, also known â€œBitoy,â€ died contracting new coronavirus.",1
"Masks nothing prevent spread pathogens, including SARS-CoV-, cause oxygen deficiency",1
"student Pondicherry University found home remedy cure COVID- accepted WHO. Mixing black pepper powder, ginger honey consuming days cure person new coronavirus.",1
"Federal Government fired thousand public servants received, illegally, emergency COVID- allowance.",1
Authorities decided close French-Spanish border,1
Inhaling eucalyptus prevents eliminates new coronavirus,1
Ghanaâ€s president backs conspiracy theories COVID-.,1
"Uruguay gave , doses medecine Brazil fight COVID-.",1
"audio denounces falsification death certificates Hospital de ClÃ­nicas (CABA, Argentina) increase deaths coronavirus.",1
Authorities decided close French-Spanish border,1
Brazil recorded deaths first half first half .,1
"registered governmentâ€s emergency subsidy program (ESP) via ReliefAgad app claim cash aid via GCash, regardless payout method selected app.",1
government ordered re-opening schools colleges.,1
"post shared thousand times Facebook claims corpse COVID- positive person times â€œtoxicâ€ hours death â€” undertakers burying bodies within prescribed period, funerals become hotspots infections.",1
"Comedian Michael V, also known â€œBitoy,â€ died contracting new coronavirus.",1
"Gasoline diesel used disinfect surfaces hands kill SARS-CoV- virus, causes COVID-.",1
Authorities discreetly re-authorised hydroxychloroquine COVID-,1
"Masks nothing prevent spread pathogens, including SARS-CoV-, cause oxygen deficiency",1
"video huge crowd maintaining social distancing India Institute Medical Science (AIIMS), Patna (a city state Bihar).",1
Raisin prevents clotting thus helps fight COVID,1
"ordinance punishes minors parents violating quarantine rules took effect Monday, July .",1
"claim shared repeatedly multiple posts Facebook, Instagram websites July top medical experts World Health Organization (WHO), US Centers Disease Control Prevention (CDC) New England Journal Medicine warned wearing face masks cause â€œsevere health issuesâ€.",1
"Ivermectin good results COVID- treatment Bolivia, Dominican Republic, New Zealand, Australia, African countries.",1
"claim shared repeatedly multiple posts Facebook, Instagram websites July top medical experts World Health Organization (WHO), US Centers Disease Control Prevention (CDC) New England Journal Medicine warned wearing face masks cause â€œsevere health issuesâ€.",1
"Multiple Facebook posts shared tens thousands times claim novel coronavirus, causes disease COVID-, infected far fewer people HN virus, swine flu, â€œmedia hysteriaâ€ prompted overblown response.",1
"viral message says â€œthose years ageâ€ get pharmacies â€œa pack three masks per month (â€¦) Wednesday July.â€ text shared coming Spanish regions Andalusia, Catalonia, Castilla LeÃ³n, Valencian Community Basque Country.",1
Nokia distributing free phones students amidst coronavirus pandemic,1
graph correlates greater vaccination influenza years age higher mortality rate compared COVID-.,1
"video huge crowd maintaining social distancing India Institute Medical Science (AIIMS), Patna (a city state Bihar).",1
Raisin prevents clotting thus helps fight COVID,1
French doctors protest discovering COVID- pandemic fraud.,1
"picture showing Italian Prime Minister Giuseppe Conte, French President Emmanuel Macron German Chancellor Angela Merkel drink together, masks respecting social distancing measures.",1
"person visited Badusha Hypermarket, Perambra found COVID- positive hence visited hypermarket th July asked report Perambra Taluk Hospital.",1
"Obama, Dr. Fauci visited Wuhan lab",1
Neem tea â€˜solutionâ€ COVID-,1
Covid : â€˜Achha Chalta Huâ€ Boy breathed hast singing Hindi song.,1
"publication claims American city Philadelphia â€œprematurely ended quarantine Spanish flu launched demonstration measures staying homeâ€, led peak infections, hospitalizations deaths.",1
Covid : â€˜Achha Chalta Huâ€ Boy breathed hast singing Hindi song.,1
picture coronavirus-infected patientâ€s throat.,1
image two people turn backs State ceremony took place July honor victims COVID-. moves message members Podemos turned around King Felipe VI spoke.,1
"car blew BelÃm, Brazil, driver cleaned key alcohol-based hand sanitizer.",1
COVID- asymptomatic carriers transmit antibodies people.,1
changed directives: need isolate infected people.,1
photo shows Brazilian president Jair Bolsonaro hospitalized tube coming nose. caption links photo COVID-.,1
evidence Mentholatum eucalyptus prevent development COVID- human body.,1
Podemos politicians turned around state ceremony COVID- victims,1
"Porto Feliz, Brazilian city state SÃ£o Paulo, doesnâ€t register deaths COVID- since adopted treatment protocol chloroquine.",1
"governor Bahia, Rui Costa, determined hydroxychloroquine tablets confiscated pharmacies around state.",1
"quote doctor Alberto Zangrillo, saying Covid- consequence immigration.",1
couple days message circulating users invited make request help National Government form Colombian government,1
"â€œMozhemeâ€ coalition connected newly infected COVID- patients, although nothing issue.",1
map Sri Lanka shared certain cities highlighted places visited close contacts Kandakadu COVID cluster,1
map Sri Lanka shared certain cities highlighted places visited close contacts Kandakadu COVID cluster,1
couple days message circulating users invited make request help National Government form Colombian government,1
photo shows Brazilian president Jair Bolsonaro hospitalized tube coming nose. caption links photo COVID-.,1
picture coronavirus-infected patientâ€s throat.,1
Facebook posts shared thousands times claim US Federal Emergency Management Agency (FEMA) offering hazard pay compensation individuals worked novel coronavirus pandemic.,1
Doctors steal fingerprints data pulse oximeter,1
Extensive mask wearing weakens immune system canâ€t breathe properly,1
statements American political scientist activist Susan George says â€œSpaniards laboratory rats: letâ€s see much punishment tolerate without rebelling.â€ phrase shared related current coronavirus pandemic.,1
Singaporeâ€s Health ministry issued advisory day-to-day progression COVID- symptoms patients first nine days infection.,1
US Education Secretary Betsy DeVos said children â€œstoppersâ€ coronavirus.,1
city Manizales estimated cycloband COVID- greatly reduced greenhouse gas emmissions.,1
French Prime Minister Health Minister expelled government banning chloroquine country.,1
Chinese scientists publicly stated coronavirus lab-made,1
"video text claims offer information coronavirus â€œcomes Japanese Ministry Health.â€ claims first symptoms infection appear, lungs already show % fibrosis.",1
PCR tests damage hemato encephalic barrier,1
COVID- hospital flooded Bihar,1
US Education Secretary Betsy DeVos said children â€œstoppersâ€ coronavirus.,1
PCR tests damage hemato encephalic barrier,1
G technology creates coronavirus human cells,1
Singaporeâ€s Health ministry issued advisory day-to-day progression COVID- symptoms patients first nine days infection.,1
Extensive mask wearing weakens immune system canâ€t breathe properly,1
statements American political scientist activist Susan George says â€œSpaniards laboratory rats: letâ€s see much punishment tolerate without rebelling.â€ phrase shared related current coronavirus pandemic.,1
supposed doctor recommends video inhaling â€œantiseptic alcoholâ€ â€œfight new coronavirusâ€,1
video man attacking cashier McDonaldâ€s restaurant viewed thousands times multiple posts Facebook alongside claim happened Singapore.,1
private health system began offering antibody tests detect COVID-. time Ministry Health said would buy antigen tests.,1
video claims Italy discovered COVID- bacteria virus,1
Video says face masks ineffective mitigating transmission COVID- harmful wearer.,1
"Anthony Fauci married sister Ghislaine Maxwell, arrested U.S charges human trafficking.",1
swabs used COVID- RT-PCR testes damage blood-brain barrier.,1
Average daily deaths recorded Brazil lower .,1
swabs used COVID- RT-PCR testes damage blood-brain barrier.,1
Video says face masks ineffective mitigating transmission COVID- harmful wearer.,1
coronavirus amplified bacterium related G.,1
Average daily deaths recorded Brazil lower .,1
video man attacking cashier McDonaldâ€s restaurant viewed thousands times multiple posts Facebook alongside claim happened Singapore.,1
text ensures guava tree leaf â€œprevent reverseâ€ effects COVID-.,1
article stating police officers tested positive Covid- assisting positive migrants.,1
student Pondicherry University found home remedy COVID- accepted World Health Organization (WHO),1
Ghanaâ€s president said coronavirus created laboratory.,1
supposed doctor recommends video inhaling â€œantiseptic alcoholâ€ â€œfight new coronavirusâ€,1
Ecuador found cure coronavirus.,1
"Anthony Fauci married sister Ghislaine Maxwell, arrested U.S charges human trafficking.",1
"new vaccine contains â€œRNAâ€ Digitizable replicator activated g, virus reactivate patient recovers",1
Nasser Ziberi tested positive COVID-,1
"photo claims show Dr. Fauci, Melinda Gates Barack Obama Wuhan Lab .",1
"image claims alleged therapy called biomagnetism capable wipe â€œall kinds viruses, bacteria, fungi parasitesâ€, including coronavirus â€œquickly effectively.â€",1
"new vaccine contains â€œRNAâ€ Digitizable replicator activated g, virus reactivate patient recovers",1
Nasser Ziberi tested positive COVID-,1
web article stating Kazakhstan dealing new outbreak particular kind pneumonia â€œmore dangerous Covid-â€.,1
student Pondicherry University India found home remedy COVID- accepted World Health Organization (WHO).,1
"mayor Porto Alegre, Brazil, removed benches RedenÃ§Ã£o Park measure people meeting up.",1
"photo claims show Dr. Fauci, Melinda Gates Barack Obama Wuhan Lab .",1
Deaths causes â€˜passedâ€ COVID-.,1
"-minute video President Republic Ghana, Nana Akufo-Addo, allegedly reveals coronavirus created laboratory spread throughout world.",1
"Biggest public hospital Fortaleza (CearÃ¡, Brasil) covid- patients.",1
press release Chinese Embassy Kazakhstan alerting alleged new pneumonia whose case fatality rate â€œmuch higherâ€ COVID-.,1
"approved Chinese vaccine COVID- costs US$ per dose; also forbade tests American vaccine, would given low cost.",1
Doctors perfoms c-section COVID- pacient give birth baby without cuttin membrane protects way prevent contamination,1
"Photo shows former President Barack Obama, Dr. Anthony Fauci Melinda Gates â€œWuhan lab .â€",1
Masks produce hypoxia hypercapnia.,1
"Photo shows former President Barack Obama, Dr. Anthony Fauci Melinda Gates â€œWuhan lab .â€",1
Video claims Brazilian media outlets choose irrelevant scientists talk pandemic.,1
U.S. government approved second round coronavirus stimulus payments everyone signs â€” money forthcoming â€œ- business days.â€,1
claimed â€œmaybe need lockdownâ€.,1
Claim Secretary Education Betsy DeVos said â€˜onlyâ€ .% kids likely die go back school pandemic.,1
warns wearing masks unnecessary healthy people.,1
"Fiocruz, Brazilian state-owned science institute, developed ChAdOx nCov-. Then, offered Oxford University, getting support Jair Bolsonaro.",1
"Home treatment based ivermectin, chloroquine, azithromycin vitamins cure infection caused novel coronavirus.",1
"Manuel Elkin Patarroyo, famous Colombian scientific, wrote message coronavirus sided WHO.",1
claim video Amitabh Bacchan praising Nanavathi Hospital COVID warriors released.,1
Masks dangerous,1
Africa managed pandemic prescribing ivermectin.,1
Covid- test using swab used â€œcollect DNAâ€ population.,1
Seasonal influenza vaccination mandatory Georgia fall. COVID- mortality rates significantly lower fatalities caused viruses.,1
video shows monkeys attacking Gandhi Hospital Hyderabad,1
Seasonal influenza vaccination mandatory Georgia fall. COVID- mortality rates significantly lower fatalities caused viruses.,1
Claim Secretary Education Betsy DeVos said â€˜onlyâ€ .% kids likely die go back school pandemic.,1
Covid- test using swab used â€œcollect DNAâ€ population.,1
"Telangana celebrity, lyricist Suddala Ashok Teja died due coronavirus infection.",1
"youngest patient died COVID- Macedonia, age , actually victim medical negligence.",1
Deaths COVID- nearing zero U.S.,1
Sechenov First Moscow State Medical University Russia completed clinical trials â€œworldâ€s first COVID- vaccine.â€,1
"Mayor Cali, Colombia, close city days due coronavirus.",1
Pistol shaped infrared themometers dangerous burn neurons.,1
fake document says Italian government extending state emergency Spring .,1
COVI-PASS mobile application collaborating Portuguese Government.,1
"PAHO, PanAmerican health organisation, conducted studies Ivermectin scientific evidence efficacy Covid-.",1
Publications suggest would better test COVID- saliva nose,1
Adidas donating shoes campaign new coronavirus.,1
Telangana Chief Minister treated COVID- infection Yashoda Hospitals,1
new coronavirus settles faster dry throat.,1
Helicopters fly entirety Luzon spray unspecified substances coronavirus.,1
"everyone worried COVID-, Chamber Deputies approved two bills legalize abortion.",1
"Masks causing us breathe waste body, favors cancer, causes hypoxia intoxicates blood.",1
Lemon Juice cures COVID-,1
UK nurse gives recommendations treating coronavirus.,1
French doctors protested throwing away vests finding COVID- fraud.,1
"Ivermectin, chloroquine nitazoxanide (sold Brazil name Annita) prevent multiplication novel coronavirus taken beginning Covid- symptoms.",1
new coronavirus created laboratory.,1
"cases COVID-, disease caused novel coronavirus, real planned US billionaire Bill Gates push use vaccines microchip implants.",1
Consuming alcohol beverages vodka reduce risk COVID- infection.,1
Eiffel tower reopens hommage COVID- deaths.,1
"Edouard Philippe, Franceâ€s ex-prime minister, sued forbade hydroxychloroquine country.",1
Publications suggest would better test COVID- saliva nose,1
Adidas donating shoes campaign new coronavirus.,1
Wearing mask cause fungal infection.,1
"â€˜Dr. VK Srinivas, Vice-President Bharath Biotech, taking first injection COVID- vaccine. confidence productâ€",1
"â€˜Dr. VK Srinivas, Vice-President Bharath Biotech, taking first injection COVID- vaccine. confidence productâ€",1
Post claiming coronavirus affected patients Chinniyampalayam Vellalore get cured within day consuming herbal Mysore pak,1
Consuming alcohol beverages vodka reduce risk COVID- infection.,1
"â€˜Dr. VK Srinivas, Vice-President Bharath Biotech, taking first injection COVID- vaccine. confidence productâ€",1
Senior officials Rajasthan police visited Ajmer Sharif Dargah,1
