cleaned_text,label
"stimulus bill ""failed get people back work.""",1
There's rationing bills.,1
"meme quotes Rep. Nancy Pelosi saying: ""I disgusted ‘President’ Trump allowing people keep money earn.""",1
"North Carolina study proves ""probably million people voted twice (the ) election.""",1
"roughly percent Americans don’t health insurance, ""half made $, year.""",1
man died meth lab explosion attempting light flatulence.,1
"hit % Rasmussen Poll, much higher President Obama point.",1
Parkland Shooting Suspect ‘Connection’ Barack Obama?,1
"Says New Jersey’s job growth May represents "" percent jobs created country.""",1
Hulu cancelled plans stream comedian Michelle Wolf’s standup special appearance White House Correspondents Dinner.,1
Michele Bachmann compare Great Wall China U.S.-Mexico border fence.,1
Coca-Cola bought rights Dr Pepper discontinuing production latter soft drink.,1
"Bernie Sanders Hillary Clinton seek abortion ""cutoff date"" weeks, claim late-stage fetuses feel pain rights.",1
"interview Washington Post, President Obama stated Americans would better martial law.",1
Giant pythons discovered small creek Indiana.,1
Hillary Clinton wore secret earpiece first presidential debate .,1
"'Time' ran cover story titled ""How Survive Coming Ice Age"" .",1
"“Singer Dolly Parton: ‘Trump one year already better years Bush, Obama put together.’”",1
"Says Thomas Jefferson said ""that government best governs least.""",1
amendment health care law said federal government going take education.,1
Infamous mother Casey Anthony died age .,1
"Rick Perry's Texas, governor threatens leave, secede greatest country world.",1
top percent pay half entire revenue country.,1
"facts say ... ""the best scenario kids loving mom dad.""",1
video shows woman using face paddle game table tennis.,1
"President Donald Trump offered asylum Aleksei Makeev, attacked Mexico.",1
"Congressional Budget Office report says President Barack Obama’s executive order raise minimum wage new federal contract workers ""will cost economy , jobs.""",1
Buzz Aldrin admitted exchange captured video never went moon.,1
CNN invested industrial-sized washing machine help journalists news anchors spin news publication.,1
"half-human, half-lamb born South Africa.",1
"Account describes horrific results ""Russian Sleep Experiment"" late s.",1
photograph showing group astronauts without helmets indicates moon landing staged.,1
"Iran deal ""trusts Iranians inspect themselves.""",1
Donald Trump expressed strong opposition war Iraq began .,1
"Katy Freeway, Interstate west Houston, widest freeway world, lanes, including frontage road lanes.",1
"reason Supreme Court upheld Affordable Care Act ruled monthly payments everyday American make tax.""",1
"Says Senate Republicans ""following longstanding tradition filling vacancies Supreme Court middle presidential election year.""",1
"went back obesity rates existed , would save Medicare system trillion dollars.",1
Atlanta Beltline paid nearly $. million less quarter-acre.,1
"photograph shows ""super moon"" resting atop radio telescope.",1
"Health officials announced June Donald Trump's health ""deteriorating.""",1
Emma González 'Admit' Bullying Parkland School Shooter?,1
"Republican Party hypocritically declared national convention ""gun-free zone.""",1
habitual alcohol abuser lost penis frostbite drunken sexual encounter snowman.,1
Democratic majority led th Congress spend money two years first congresses combined.,1
-year-old woman drugged nearly abducted sex traffickers bathroom Shelby Township Meijer August .,1
"Studies show ""the shooting murder rate Chicago cost us $. BILLION DOLLARS"" ""the entire City budget $. billion dollars. math work, financially killing city.""",1
"Says Thomas Jefferson helped ""craft"" Constitution.",1
Former first lady Nancy Reagan endorsed Hillary Clinton.,1
"Facebook removing photographs military amputees network, deeming ""offensive.""",1
"public high school Hilliard, Ohio, hosts Muslim prayer room.",1
Says never said would keep education funding same.,1
"Says CNN’s Chris Cuomo ""never asked"" Sen. Richard Blumenthal Blumenthal's misstatements service Vietnam.",1
"Says Winston Churchill said, ""The fascists future call anti-fascists.""",1
Hillary Clinton soon indicted racketeering charges.,1
"Meryl Streep fired director Ron Howard ""Happy Days"" reboot project lying Donald Trump mocking disabled reporter.",1
percent people buy subject Rhode Island’s sales tax.,1
"phrase ""a shot whiskey"" originated Old West, single bullet worth roughly drink often substituted currency.",1
Obamacare going increase divorce rate.,1
real unemployment anywhere percent. believe .. believe it.,1
"Barack Obama Oversee Separation , Children Parents?",1
Coconut water used intravenous substitute blood plasma.,1
Pictures President Trump suffering stroke used spread virus wipes computers cellphones.,1
"Says Andrew Gillum ""far left socialist platform.""",1
"Alex Malarkey, protagonist book Boy Came Back Heaven: True Story, actually visited Heaven.",1
U.S. Supreme Court struck Wisconsin's photo ID election law,1
"David Hogg Changes Story, Wasn’t School Cruz Opened Fire.",1
President Obama apologized dropping bombs Japan end World War II.,1
Folding $ bill specific pattern reveal secret image stack pancakes.,1
Says combined inflation unemployment rates October highest since Ronald Reagan succeeded Jimmy Carter.,1
"Says Rep. Kyrsten Sinema supported bill ""essentially encouraging child trafficking.""",1
conviction rate almost exactly whites blacks commit murder.,1
Texas death row inmate requested served child last meal.,1
resolution passed March forces residents Texas county pay reparations black citizens.,1
Adam Schiff's Sister Married George Soros's Son?,1
"President Trump mentioned issue so-called interference Russia American elections, reiterate things said several times, including personal contacts, Russian state never interfered going interfere internal American affairs, including election process.",1
remains smoldering JATO-equipped Chevrolet Impala found embedded side cliff Arizona desert.,1
photograph showing Barack Michelle Obama saluting U.S. flag left hands.,1
Drivers lookout face-slashing car thieves posing individuals seeking directions.,1
"half people would taxed (a millionaire surtax) are, fact, small businesspeople.",1
"centerpiece Senator McCain's education policy increase voucher program D.C. , slots.",1
U.S. Gymnastics coaches Bela Marta Karolyi illegal immigrants.,1
"Says Wisconsin governor ""never raised taxes.""",1
[Georgia] Republicans mismanaged unemployment benefits.,1
CNN Permanently Closing Doors Ratings Plunge Percent?,1
clinical evidence vaccinating healthcare workers protects patients.,1
GOP health care proposal would slash $ million federal funding available PA schools.,1
"federal holiday observed United States third Monday February officially designated ""Presidents' Day.""",1
"Says Leah Vukmir said: ""I’m endorsing Donald Trump.""",1
"new bill ""was written new health care reform initiative ensuring Congress percent exempt.""",1
"Eighty-seven per cent ""illegal"" boat people destroy papers coming Australia.",1
Mexico Seize Pounds U.S. Government Cocaine?,1
"Since Mr. Foster's mayor, less small businesses city St. Petersburg.",1
Trump-Supporting Sandra Bullock Urge Hillary Clinton Leave United States?,1
"Says Republicans ""just passed"" Veterans Choice program years trying. ""They've trying pass one many, many decades.""",1
"truth Pacific Solution %, thereabouts, people sent Mr Howard Nauru elsewhere part Pacific Solution, used wait station within couple years Australia anyway.",1
giving almost $ billion taxpayer money junk food fast food industries every year make (childhood obesity) epidemic worse.,1
"Says Sen. Tammy Baldwin ""claims support 'Buy America' philosophy, actions speak louder empty words.""",1
video shows German newscaster laughing President Trump's statements NATO summit.,1
Security improvements White House fence included introduction Islamic symbolism design.,1
CNN Permanently Close Doors Ratings Plunge Percent,1
Studies shown voter fraud non-existent Texas.,1
"Dozens artists, including Justin Timberlake, Jay Z Rihanna, canceling Florida shows like Stevie Wonder protest ""stand ground.""",1
"Restaurant workers Smithfield's Chicken & Barbeque Jones Sausage Raleigh sang ""fuck police"" visiting officers.",1
"small business ""adopt health care plan Senator Obama mandates, he's going fine you.""",1
judge called FBI U.S. Marshals arrest President.,1
"wake missile strike ordered President Trump Syria April , senior White House officials admitted served actual purpose.",1
"July , President Trump dispatched federal investigators hamlet Islamberg, New York, uncovered ""America's worst nightmare"".",1
photograph shows rainbow-colored mountain range California.,1
"Someone write article book, totally make stories form picture person literally exact opposite fact, get away without retribution cost. Don’t know Washington politicians don’t change libel laws?",1
"photograph shows ""the darkest baby world.""",1
recently removed statue Jefferson Davis replaced large bronze tribute Barack Obama.,1
"Obama ""refused put hand heart Pledge Allegiance, refused say pledge.""",1
"unemployment rates: ""We counties Southwest Virginia well double digits pushing percent.""",1
Neil deGrasse Tyson addressed gender inequality Twitter tearing apart joke women science.,1
last time sustained surge confidence government's competence Ronald Reagan.,1
e-mail published WikiLeaks revealed three prominent Republicans Hillary Clinton's payroll.,1
"Every former North Carolina governor opposes ""constitutional amendments Raleigh lawmakers put ballot fall.""",1
Bill Cosby appointed Secretary Women's Rights president-elect Donald Trump.,1
Executive branch agents raided shut EPA.,1
fake news article reported cross-eyed woman cut partner's penis refused look eye sex.,1
"numbers toaster indicate duration toasting minutes, ""degree toastiness.""",1
four five states number insurance options narrowed Affordable Care Act.,1
"United States ""first created federal income tax, frankly, nobody million dollars year paid anything.""",1
Killing praying mantises illegal (parts of) USA.,1
"Claims President Obama ""founded ISIS"" ""the co-founder"" former Secretary State Hillary Clinton.",1
"Scott Maddox run ""losing campaigns Florida's available cabinet positions.""",1
"Says call Dr. George Tiller baby killer, liberal groups charge, merely reporting ""some prolifers branded him.""",1
July Facebook post shows Tom Hanks wearing t-shirt bearing number liberal slogans.,1
vote tax increases member West Miami City Commission.,1
Liberal Celebrities Arrested Conspiracy Assassinate President Trump?,1
"Claims ""the Electoral College landslide.""",1
CDC Doctor Say Flu Shot Causing Deadly Outbreak?,1
InterLink T.F. Green Airport closest air-rail link country.,1
Says Steve Jobs responsible creating jobs stimulus bill.,1
"Hillary Clinton Barack Obama ""Iranian advisers sides times.""",1
amount attention paid week Chris Christie makes coverage Benghazi ... pale significance.,1
'Flaming Tire' Rocketing Past Car?,1
"President Obama said ""if pass gun laws, crime go away.""",1
McCain ‘Accidentally’ Killed U.S. Soldiers Serving Navy,1
Senate Minority Leader Chuck Schumer resigned face compromising material held White House.,1
President Obama purging military leaders refuse fire U.S. citizens.,1
"Says Walker ""wants get rid of"" students’ ability stay parents’ health insurance.",1
"Walmart adding ""phantom charge"" $ shoppers' bills years.",1
"job [of correctional officer] lowers life expectancy . . . Metropolitan study in, believe , life expectancy .",1
Scott Walker’s school-aid cuts devastating students without chairs government survey found kids classroom.,1
"Muslim Brotherhood ""openly stated want declare war Israel.""",1
video shows group whales coming surface hearing orchestra playing music.,1
"official movie poster shows Dwayne ""The Rock"" Johnson cartoon character Johnny Bravo.",1
Fox News host fired June comments made Muslims.,1
"Says Mexico birthright citizenship, Americans ""only ones"" it.",1
"Says Virginia economic development officials ""decided didn’t want bid on"" company's electric automobile plant.",1
Harry Potter author J.K. Rowling exacted revenge Twitter critic monitoring finances two years buying home.,1
"Says Crist campaign website ""has eliminated references Republican Party.""",1
"Signs letter saying Consumer Product Safety Commission acting ""without consultation input company"" stop sale Buckyballs.",1
"President Donald Trump labeled either best worst president ever cover ""Time"" magazine.",1
"Claimed former President Obama said, “President Trump would need magic wand get % GDP.”",1
"IRS ""going charge health care.""",1
KFC McDonald's giving away free lifetime passes Facebook users like share post.,1
"electoral map based Facebook analytics shows Donald Trump winning presidential election ""clean sweep.""",1
Actress Demi Moore proclaimed want Trump supporters fans.,1
Says political prisoners Cuba.,1
"Democratic lawmakers voted favor short-term spending bills ""just voted deport Dreamers.""",1
"Clinton ""refused repeated requests meet Gold Star Mothers.""",1
Weather Channel announced use Celsius temperature scale.,1
CNN published story pastor Joel Osteen mistakenly featured image actor Tim Allen.,1
"Homosexual behavior ""cuts life years.""",1
"Says Patrick Murphy ""hasn't passed single bill committee.""",1
Melania Trump Plagiarize Michelle Obama's Statement Women's History Month?,1
"Milwaukee County ""a parks capital budget that’s bigger it’s last years.""",1
"Says Hillary Clinton’s immigration platform would ""create totally open borders.""",1
"Ten Democratic Congressmen demanded Mount Rushmore altered accommodate likeness Martin Luther King, Jr.",1
"Affordable Care Act signed, million American children pre-existing condition ""uninsurable.""",1
"Barack Obama ""lied"" father's military service World War II.",1
“Clinton Foundations [sic] Sends Water Houston…For $ Bottle.”,1
Claimed “new information” proves “right” tweeted President Obama illegally wiretapped phones election.,1
band Megadeth set play rally Bernie Sanders.,1
Nike offered 'people color' several coupons discounts company's products.,1
"Said Democrats manufactured death toll , Hurricane Maria Puerto Rico make ""look bad possible.""",1
"Tornado Carries Mobile Home Miles, Family Inside Unharmed?",1
name Boxing Day comes need rid house empty boxes day Christmas,1
"Congress cut funding, slashed funding, veterans' benefits last years.",1
"Human activity ""causing dramatic changes climate.""",1
"Iceland forgave entire mortgage debt population, ""media blackout"" prevented Americans learning it.",1
"Sarah Palin blamed Fort Lauderdale shooting ""Mexican Muslim"" immigrants.",1
"Says Mahmoud Ahmadinejad said ""if nuclear weapon use wipe Israel face earth. use United States America.""",1
Jared Kushner scrubbed Twitter account shortly Special Counsel Robert S. Mueller III revealed charges three former Trump campaign officials October .,1
"Says ""you can’t destroy guns purchased (gun) buyback program city (of Memphis) wants do.""",1
video shows 'self-driving bicycle' created Google.,1
Planned Parenthood Satanic Temple worked together oppose laws restricting abortion rights Missouri.,1
nursery rhyme 'Ring Around Rosie' coded reference Black Plague.,1
I’m one who's fought developers draining Everglades!,1
KGB agent admitted Sex Pistols financed USSR destabilize Western democracy.,1
"Democrats plan ""to raise tax rates percent.""",1
Swedish-born producer DJ Avicii died suspicious circumstances trying use music videos expose pedophile ring,1
"Christine Blasey Ford ""Sent Feinstein Letter Last Year"" Gorsuch",1
woman ate grandchild smoking bath salts.,1
"Claimed Vice President Mike ""Pence used private server governor Indiana"" government business.",1
"Says question financial skills CNBC debate included ""discredited attacks Democrats political opponents.""",1
break families. Democrats gave us law. horrible thing break families. Democrats gave us law want anything it.,1
"Sarah Palin ""has experience Barack Obama.""",1
Says United States “doubled use renewable energy.”,1
IKEA furniture chain selling swastika-shaped table.,1
Salvation Army bell-ringers keep portion monies deposited kettles.,1
"UNESCO declared India's national anthem, 'Jana Gana Mana,' world's best.",1
"Says new figures released showing Wisconsin job gains ""the final job numbers.""",1
"British pub chain JD Wetherspoon banned remembrance poppies due ""multiculturalism"".",1
"last year, Wisconsin ranked third Midwest job growth.",1
NRA banned carrying guns national convention.,1
"Says appointed board created Obamacare ""will ability come doctor determining best treatment options you!""",1
platform Republican Party says deport everybody hell it.,1
Greenpeace activist arm bitten tried hug shark.,1
"Donald Trump owns Carrier, significant stake parent company, United Technologies.",1
"Says states, government workers ""are better paid taxpayers support them.""",1
"Betsy DeVos miscounted number words poorly-worded ""#AmericaInWords"" tweet.",1
photograph shows jumping baby elephant.,1
"JUULing, use JUUL e-cigarette, caused cancer four students.",1
"Trump administration appointed Walter Palmer, famed killing Cecil Lion , newly-formed wildlife conservation council.",1
VERA FILES FACT CHECK: Report Recto calling Duterte 'crazy dog',1
"Says Republican Rep. Charlie Dent wants kick Freedom Caucus Republican conference ""for voting conscience.""",1
-year-old Cincinnati woman taken hospital -month-old toddler babysitting got stuck vaginal cavity.,1
Monster brand energy drink uses Hebrew version logo.,1
There's evidence anywhere offshore drilling hurt tourism area allowed.,1
American people spoke pretty loudly. said stop looming tax hikes....,1
Hillary Clinton open borders.,1
photograph shows President Trump balloons stuffed shirt.,1
Says state Senate candidate Aaron Bean voted give health care subsidies illegal immigrants.,1
"President Obama evicted Washington, D.C., mansion damaging building.",1
judge cut fifteen years sentence man convicted lewd acts -year-old girl perpetrator claimed child 'asked raped.',1
"undocumented children picked border ""told appear later court ... percent show up.""",1
Future Cuban revolutionary leader Fidel Castro given tryout Washington Senators baseball team.,1
"million people work. look jobs, give up, sudden, statistically, they're considered employed.",1
photograph shows President Donald Trump wife Melania Trump alleged mistress Stormy Daniels.,1
"Studios deal, ""Wall Street investors took risk, went bust.""",1
previous administration … $ fill car. American energy delivered. $. That’s $ pocket … wouldn’t have.,1
"Rhode Island's unemployment insurance system ""is expensive system country.""",1
Former first daughter Malia Obama founded website intended discredit President Donald Trump.,1
"ISIS supporter tweeted : a.m. Shooting began : a.m. Chattanooga, Tenn.",1
"amount interest paid federal debt exceeds ""total tax revenue.""",1
"Baltimore woman leaked imminent indictment Roger Clinton, Jr. found murdered.",1
top percent income-earners pay percent taxes federal government.,1
Latinos make majority population Texas.,1
Rep. Michele Bachmann questioned dinosaur bones dirty they've buried millions years.,1
Russian president Vladimir Putin cancelled campaign appearance Donald Trump.,1
"Bill Cosby received pardon President Obama ""current future"" sexual assault charges.",1
"new analysis residue common American foods showed high levels herbicide glyphosate Monsanto, EPA, FDA cahoots silence word chemical’s harmful effects high concentration foods.",1
"""severe diarrhea incident"" struck strip club, affecting dancers patrons consumed tainted buffet food.",1
"Says Mahatma Gandhi said, ""First ignore you, laugh you, fight you, win.""",1
", babies born deformed every year country women alcoholics they're carrying children term.",1
"Says ""massive floods"" led Legionnaires’ disease outbreaks Quincy Veterans’ Home.",1
Jason Carter’s plan: increase spending $. billion.,1
President Trump purchased Mount Desert Island estate David Rockefeller.,1
sea monster giant size spotted near Antarctica.,1
"name Christian holy day known ""Good Friday"" derives term ""God's Friday.""",1
"Researchers Russian Institute Medical Science discovered new vaccine may ""prevent"" ""cure"" homosexuality humans.",1
music industry biggest export Africa oil gas.,1
"“Joining ‘Soros Funded’ Antifa Illegal, Punishable Years Prison”",1
photograph shows Barack Michelle Obama dressed pimp ho White House event.,1
"Says Congressional Budget Office report spending House Democrats economic stimulus concluded ""is stimulus. help economy grow.""",1
Mike Huckabee created handy guide identifying secret homosexual handshake.,1
"Says ExxonMobil ""paid federal income taxes, received $ million rebate.""",1
Reese's Peanut Butter Cups Discontinued?,1
'Blood Jesus' Flower Bloom Holy Week?,1
photograph shows two people darkest lightest skin colors world.,1
Facebook Removing Share Button Pro-Trump Posts?,1
"Coke, Nestle Near Ownership World's Second Largest Aquifer.",1
Ronald Reagan met Taliban compared founding fathers United States.,1
President Trump tweeted Native Americans deported back India.,1
Barack Obama President Hurricane Katrina?,1
"Says many local governments Wisconsin already require employees pay percent, percent even percent health insurance premiums.",1
"Obama administration’s Syria proposal ""had clear objective,"" Trump’s Syria strike ""had clear strategic objective.""",1
Illegal immigrants mow grass around (Texas) Capitol.,1
Statistics show Texas women per week major complications women per week seek help ER abortion.,1
Millionaires working side side George Soros bankrolling (John Kasich’s) super PAC.,1
"State Rep. Elena Parent ""supported Governor Nathan Deal’s plan slash HOPE scholarship.""",1
Babies Schmabies,1
Actress Melissa McCarthy admitted TV sitcom Mike & Molly cancelled due weight loss.,1
photograph shows two extremely muscular female bodybuilders.,1
"weeks ago, (the) education committee Congress deciding what’s going local salad bar.",1
President Trump voiced support United Airlines following release video showing passenger forcibly flight.,1
"Says EPA regulation greenhouse gases endanger Texas dairy facilities, swine operations, , corn farms , beef cattle operations.",1
photograph shows crowd hands raised pledging allegiance President Obama.,1
Melania Trump announced endorsing Hillary Clinton.,1
"Barack Obama ""pledged reduce size military.""",1
"focusing much, especially Texas Department Transportation, percent people single-occupancy vehicles.",1
"Job growth United States ""fastest pace country's history.""",1
"interview Sarah Palin asked, ""What NATO ever done us? World War II, America defeated Nazis.”",1
state Rhode Island percent current physicians graduates for-profit medical schools.,1
Republican replacement Obamacare give massive tax cuts wealthy Americans.,1
"Rep. Chris Collins, member President-elect Donald Trump's transition team, compared civil rights icon Rep. John Lewis ""a spoiled chimp got many bananas rights.""",1
"Obama administration ""was successful rushing massive spending bill Congress two days — sat president's desk three days, away vacation.""",1
"Sesame Street muppets Bert Ernie live-in lovers, they're get married.",1
"Ted Nugent called Colin Kaepernick ""chimp"" discussing President's support athlete's protest.",1
"Says ""not exactly"" say communities right ban mosques.",1
"Says Ted Strickland supported giving $ billion Iranian regime persecutes women, Christians gays.",1
Russian man claiming Vladimir Putin's lover found dead Switzerland,1
Campbell’s Soup Insult Customer Complained Commercial?,1
"Prince invested Nike , recruited NBA star Michael Jordan company , designed first Air Jordan shoe.",1
"President Donald Trump posted suggestive comment Twitter daughter's ""skintight"" dress.",1
Jennifer Aniston Starting 'Celebrities Trump' Group?,1
"Twenty percent single adults, ages kids, ""are working even school trying find job.""",1
Taxpayers footed bill prayer rugs St. Cloud school district lawsuit brought CAIR.,1
Pope Francis decreed Catholics cannot vote Democratic presidential candidate Hillary Clinton.,1
Olympic pool installed prison Stanford swimmer Brock Turner.,1
"Every single Democrat U.S. Senate signed open borders, bill, called ‘open borders bill.’",1
"well-known celebrity moving town briefly visiting discovering ""people people,"" ""whose sincerity didn’t question.""",1
CIA Agent Confess Killing Bob Marley?,1
video clip shows man struck lightning twice.,1
'Denver Post' actually hired editor promote pot.,1
Sasha Obama expelled school went racist anti-white rant.,1
"Ohio amusement park Kings Island close ""dangerous rides.""",1
"Photograph captures unlucky tourist posing observation deck World Trade Center tower /, seconds hijacked airliner smashed building.",1
VERA FILES FACT CHECK: Online post comparing Aquino's Duterte's transition shelter projects carries,1
Eating alligator New Orleans help save wetlands Louisiana.,1
"woman enters sex trade, average life expectancy seven years.",1
"among earliest criticize rush war (in Iraq), yes, even war ever started.",1
Donald Trump born 'Dawood Ibrahim Khan' Pakistan.,1
media covered incident San Bernardino several Muslim men fired upon number Californian hikers.,1
CBS reporter Hannah Chanpong tweeted Hillary Clinton dropping presidential race.,1
It’s proven Medicaid worst outcomes industrialized world far quality health care.,1
"Planned Parenthood ""now (been) found also illegally sell baby parts.""",1
"Kathy Manning got ""$ million tax dollars plus $. million year"" build luxury hotel parking lot",1
Explosion Caused 'MOAB' Afghanistan?,1
Dasani Products Recalled Due 'Clear Parasite'?,1
"Minimum wage = $,/year CEO-Goldman Sachs (Lloyd Blankfein) $,/Hour.",1
photograph shows President Obama holding rocket launcher car Abu Bakr al-Baghdadi.,1
"Mia Khalifa diagnosed human immunodeficiency virus, HIV.",1
Leaked Documents Published Showing Donald Trump’s ‘True’ Weight?,1
Televangelist Paula White sold American flags personally blessed President Donald Trump.,1
"Tommy Robinson jailed order silence reporting sex abuse trial England, ""protect Muslim pedophiles.""",1
"Californians pay ""the highest electricity bills"" nation.",1
"Since , California built ""six (college) campuses prisons.""",1
"release prison, Brock Turner beaten dildo-wielding flash mob.",1
"Prior Obamacare Wisconsin, percent Wisconsinites covered insurance. Obamacare, percent Wisconsinites covered insurance. hasn’t impact.",1
"Says ""precisely zero terrorists, terrorist groups terror plots ever connected U.S.-Mexico border harm people within United States.""",1
"five Guantanamo detainees swapped Bowe Bergdahl ""are right back battlefield.""",1
man using screen name 'DreamWeaverGrey' luring women deaths Internet.,1
Federal Agents Raid Mosque Michigan?,1
"Brothers Limpopo, South Africa, arrested raping crocodile.",1
know dangerous criminals slip immigration airports like ours. Yet Joe Donnelly stood right radical left efforts secure vulnerable entry points.,1
Actor Leonardo DiCaprio portraying Martin Luther King upcoming film.,1
"photograph shows man posing bear killed hibernating, act made legal passage new law.",1
Donald Trump disqualified running President due comments Muslims.,1
video shows Hurricane Irma destroying buildings Antigua Barbuda September .,1
VERA FILES FACT CHECK: Report claiming Congress 'abolished',1
man sued bride seeing without make-up first time.,1
Residents Trump Tower Chicago demonstrated disdain Donald Trump via clever display lights.,1
PETA releasing Lone Star Ticks northeastern United States order give people meat allergies.,1
children's TV show 'Barney & Friends' based serial killer.,1
Every engine manufacturer United States state Texas.,1
Hillary Clinton vowed would shut NRA ban handguns elected President.,1
Actress comedian Sherri Shepherd died heart attack.,1
"meme quotes Sen. Chuck Schumer saying ""it’s racist allow citizens vote.""",1
state Ohio replaced lethal injection head-ripping machine form execution.,1
"current debate authorizing military action Islamic State ""would first time Congress would place limits commander-in-chief's ability commander-in-chief.""",1
percent Americans want public health care option.,1
couple crystal meth ate parts homeless person.,1
"Mexican drug kingpin Joaquín ""El Chapo"" Guzmán donated millions dollars Hillary Clinton's presidential campaign.",1
"Says ""one America's leading consumer lawyers.""",1
